country name,country code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649473525,8.149745709,7.788465414,5.618785784,0.542203245,3.303791457,2.838574307,1.463003413,0.041546518,2.208728144,-0.132468704,1.246461733,1.770115807,1.784687569,2.321435854,3.253321681,5.547122593,5.094324232,4.827030278,3.781393478,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122899,1.312530908
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999994,-6.899999994,-24.7,3.500000006,10.4,11.19999997,7.900000022,6.804762105,3.239799677,3.012076166,4.220965156,13.82179251,,,,,,,,,,,,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635266,2.948596802,1.104938266,-1.251596644,1.780643958,5.637243196,-0.787842649,-1.420039678,9.836548993,-9.575640187,-29.58899768,-7.199999987,9.600000012,8.299999997,13.29999999,9.1,-10.83785573,9.00885254,13.50117338,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.9,7.53,3.35,3.71,2.55,1.42,1.11,2.17
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,12.60122578,8.298999813,1.674563468,10.28398665,9.58606627,4.200516688,-3.640692195,-2.856579526,1.373146287,-0.709687455,0.41338934,0.122366312,4.358037122,1.901195035,9.736368219,1.397233115,4.895711173,3.614018995,3.53316925,2.736177323,4.793786975,4.25049147,4.715284211,2.223528451,4.966278488,2.355654973,1.786087949,5.210410827,9.134017478,6.224387399,7.227962179,5.738503631,6.337466408,1.485238366,4.699099915,3.468890726,6.610185954,2.830058674,2.276247756
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685649,21.43933016,-1.5896033,20.92357308,23.87477489,4.65917667,-6.719316188,-4.745820694,4.016951286,-3.594476527,-14.95813655,3.381981714,-2.61890772,12.3378913,18.32798551,0.860081945,3.344944873,1.261190952,6.896148545,6.687886471,5.798404051,8.190398652,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,5.207798911,6.893595623,4.321360255,4.570289721
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,4.151762342,-5.689528,-4.957178519,3.875123424,2.211773504,-7.586677184,7.87577983,2.909993131,-2.556904877,-7.496189584,-2.398959219,12.66971009,11.94077474,5.906919501,5.836200698,-2.845209615,5.526689823,8.111046774,3.850178866,-3.385457054,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,9.198488983,8.402868566,7.965573248,3.074945503,0.050024456,9.451578331,8.386451456,0.801760179,2.885351883,0.453605479
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.3,3.5
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
